EIT-2016-Ent-Corridor-Ventilation,0,0.0003,0,0
EIT-2016-Ent-Lobby-Ventilation,0.0025,0.0003,0,0
EIT-2016-Ent-Office space-Ventilation,0.0025,0.0003,0,0
EIT-2016-Ent-Conference-Ventilation,0.0025,0.0003,0,0
EIT-2016-Dep-Sales-Ventilation,0.0038,0.0006,0,0
EIT-2016-Dep-Mall common area-Ventilation,0.0038,0.0003,0,0
EIT-2016-Dep-Barbershop-Ventilation,0.0038,0.0003,0,0
EIT-2016-Dep-Beauty salon-Ventilation,0.01,0.0006,0,0
EIT-2016-Dep-Pet shop-Ventilation,0.0038,0.0009,0,0
EIT-2016-Dep-Supermarket-Ventilation,0.0038,0.0003,0,0
EIT-2016-Dep-Coin-operated laudries-Ventilation,0.0038,0.0006,0,0
EIT-2016-Dep-Shipping-Ventilation,0.005,0.0006,0,0
EIT-2016-Dep-Warehouse-Ventilation,0.005,0.0003,0,0
EIT-2016-Dep-Photo studio-Ventilation,0.0025,0.0006,0,0
EIT-2016-Dep-Refrigeration area-Ventilation,0.005,0.0009,0,0
EIT-2016-Dep-Bank vaults-Ventilation,0.0025,0.0003,0,0
EIT-2016-Dep-Bank lobby-Ventilation,0.0038,0.0003,0,0
EIT-2016-Dep-Corridor-Ventilation,0,0.0003,0,0
EIT-2016-Dep-Office space-Ventilation,0.0025,0.0003,0,0
EIT-2016-Dep-Conference-Ventilation,0.0025,0.0003,0,0
EIT-2016-Dep-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Dep-Coffee stations-Ventilation,0.0025,0.0003,0,0
EIT-2016-Dep-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Depl-Bars/Lounge-Ventilation,0.0038,0.0009,0,0
EIT-2016-Dep-Kitchen-Ventilation,0.0038,0.0006,0,0
